,review,rating,Positive,Negative,Neutral,Output,Character Counts,Word Counts
113,horribl  order receiv mavi  seal bill mavi  thought mistak ask replac replac receiv box mavi  seal insid cheap shuttl local qualiti buy flipkart,1,0.0,0.0,1.0,Unhappy,144,23
114,averag,2,0.0,0.0,1.0,Unhappy,6,1
115,excel synthet shuttl yonex use   well  prefer yellow one visibl general  quit durabl long last one shuttl easili last half dozen dozen intens game flight becom unaccept found travel shorter distanc  therefor prefer,5,0.141,0.0,0.859,Happy,214,33
116,best shuttl avail market use shuttl till awar better shuttleth price got flipkart realli best price research check onlin store sport shop definit best price could find,5,0.403,0.0,0.597,Happy,167,27
117,bad qualiti pirchas  box fast,1,0.0,0.467,0.533,Unhappy,29,5
118,best shuttl avail onlin discript need,5,0.457,0.0,0.543,Happy,37,6
119,long last productnic product,5,0.0,0.0,1.0,Happy,28,4
120,best shuttl,5,0.808,0.0,0.192,Happy,11,2
121,good qualiti ,5,0.744,0.0,0.256,Happy,13,2
122,fabul item,5,0.0,0.0,1.0,Happy,10,2
123,nice qualityveri good producti much thank flipkart courier compani deliv quicklyi happyand definit tell friend order product,5,0.467,0.0,0.533,Happy,124,17
124,feel qualiti far less compar previous set brought platform  shuttl break wobbl per  hr game session feel cheat,1,0.0,0.15,0.85,Unhappy,110,18
125,origin mavi ,5,0.0,0.0,1.0,Happy,12,2
126,bad qualiti poor qualiti play ahuttl cap loos,1,0.171,0.471,0.357,Unhappy,45,8
127,two shuttl durabl ,3,0.0,0.0,1.0,Unhappy,18,3
128,poor qualiti horribl play two game shuttl,1,0.229,0.295,0.476,Unhappy,41,7
129,worst product everi ball box got flat within one two stroke disappoint fact flipkart accept replac open box deliveri without use product could know qualiti,1,0.083,0.217,0.701,Unhappy,155,25
130,best one,5,0.808,0.0,0.192,Happy,8,2
131,excel product,5,0.75,0.0,0.25,Happy,13,2
132,bad qualiti filpkart,1,0.0,0.636,0.364,Unhappy,20,3
133,delic product,3,0.0,0.0,1.0,Unhappy,13,2
134,bad qualiti,1,0.0,0.778,0.222,Unhappy,11,2
135,good qualiti,1,0.744,0.0,0.256,Unhappy,12,2
136,qualiti  shuttl per mavi  standard,1,0.0,0.0,1.0,Unhappy,34,5
137,good product servic good,5,0.744,0.0,0.256,Happy,24,4
138, qualiti,1,0.0,0.0,1.0,Unhappy,8,1
139,local product,2,0.0,0.0,1.0,Unhappy,13,2
140,old stock last even  game,2,0.0,0.0,1.0,Unhappy,25,5
141,shuttl good view balanc,1,0.492,0.0,0.508,Unhappy,23,4
142,ok,5,1.0,0.0,0.0,Happy,2,1
143,nice product suttl good ,5,0.74,0.0,0.26,Happy,24,4
144,nice product,5,0.737,0.0,0.263,Happy,12,2
145,old one,2,0.0,0.0,1.0,Unhappy,7,2
146,super ball,5,0.796,0.0,0.204,Happy,10,2
147,accord cost averag life,5,0.0,0.0,1.0,Happy,23,4
148,worst,2,0.0,1.0,0.0,Unhappy,5,1
149,poor qualiti ,1,0.0,0.756,0.244,Unhappy,13,2
150,qualiti good              broken  match,1,0.362,0.388,0.25,Unhappy,39,4
151,nice product damag  day,2,0.483,0.0,0.517,Unhappy,23,4
152,good worst product bought flipkart,1,0.29,0.41,0.3,Unhappy,34,5
153,low qualiti durab,5,0.0,0.512,0.488,Happy,17,3
154,bad,1,0.0,1.0,0.0,Unhappy,3,1
155,bad qualiti,1,0.0,0.778,0.222,Unhappy,11,2
156,bad product word describ write duplic product,1,0.0,0.368,0.632,Unhappy,45,7
157,time qualiti worst,1,0.0,0.672,0.328,Unhappy,18,3
158,poor qualiti ,2,0.0,0.756,0.244,Unhappy,13,2
159, low bad qualiti product flipkart fool everyon,3,0.0,0.68,0.32,Unhappy,46,7
160,shuttl duplic mark,2,0.0,0.0,1.0,Unhappy,18,3
161,bad product ever receiv,1,0.0,0.538,0.462,Unhappy,23,4
162,bad copi qualiti ricev,1,0.0,0.538,0.462,Unhappy,22,4
163,wast money,1,0.0,0.0,1.0,Unhappy,10,2
164,qualiti bad tire class shuttecock,1,0.0,0.467,0.533,Unhappy,33,5
165,worst,1,0.0,1.0,0.0,Unhappy,5,1
166,poor qualiti,1,0.0,0.756,0.244,Unhappy,12,2
167,reat weri much,1,0.0,0.0,1.0,Unhappy,14,3
168,worst shuttl ever use far buy product low qualiti,1,0.0,0.47,0.53,Unhappy,49,9
169,upto mark cork get crack,2,0.0,0.0,1.0,Unhappy,24,5
170,poor qualiti last one set base breakinf top worn,1,0.137,0.405,0.458,Unhappy,48,9
171,bad qualiti good like prefer beacus deliveri late comfort chang elf near product also deliv emerg thing order flipcart better go app realli bad servic product qualiti also bad,1,0.249,0.242,0.508,Unhappy,175,29
172,good,5,1.0,0.0,0.0,Happy,4,1
173,good qualiti shuttl,5,0.592,0.0,0.408,Happy,19,3
174,write review rate  star receiv duplic productnow rate  star receiv origin yonex mavi  shuttlethank futur hope receiv origin product,5,0.139,0.0,0.861,Happy,131,19
175,bad product,1,0.0,0.778,0.222,Unhappy,11,2
176,good product,4,0.744,0.0,0.256,Unhappy,12,2
177,receiv counterfeit product,3,0.0,0.0,1.0,Unhappy,26,3
178,play   hour daili  shuttl would last maximum  day,5,0.255,0.0,0.745,Happy,49,8
179,good product,5,0.744,0.0,0.256,Happy,12,2
180,one day  gaan,3,0.0,0.0,1.0,Unhappy,13,3
181,good,5,1.0,0.0,0.0,Happy,4,1
182,superb price higher day day two week price gain ,5,0.517,0.0,0.483,Happy,48,9
183,good qualiti,5,0.744,0.0,0.256,Happy,12,2
184,cost lockdown phase previous os  sometim  sometim ,3,0.0,0.0,1.0,Unhappy,50,7
185,best,5,1.0,0.0,0.0,Happy,4,1
186,play everi day play realli hard court alway best choic,4,0.549,0.085,0.366,Unhappy,54,10
187,item good buy origin,5,0.492,0.0,0.508,Happy,20,4
188,excel indoor court,5,0.6,0.0,0.4,Happy,18,3
189,genuin product nice pack,5,0.483,0.0,0.517,Happy,24,4
190,good qualiti,5,0.744,0.0,0.256,Happy,12,2
191,nice thank  flipkart,4,0.841,0.0,0.159,Unhappy,20,3
192,nice product,5,0.737,0.0,0.263,Happy,12,2
193,gradual decreas qualiti less longev,3,0.0,0.0,1.0,Unhappy,35,5
194,nice product,5,0.737,0.0,0.263,Happy,12,2
195,wow product,4,0.792,0.0,0.208,Unhappy,11,2
196, box   box bad shuttl shuttl box playabl,1,0.0,0.368,0.632,Unhappy,40,7
197,product shown pictur,1,0.0,0.0,1.0,Unhappy,20,3
198,averag  good,3,0.744,0.0,0.256,Unhappy,12,2
199,realiz buy  shuttl onlin ever cheap duplic product  refund amount replac product plz wast money,1,0.085,0.0,0.915,Unhappy,95,15
200,shuttl okayishit movement air bit differ mavi ,2,0.0,0.0,1.0,Unhappy,46,7
201,found shuttl differ,3,0.0,0.0,1.0,Unhappy,19,3
202,shuttl genuin conectart qualiti,1,0.0,0.0,1.0,Unhappy,31,4
203,poor qualiti,1,0.0,0.756,0.244,Unhappy,12,2
204, ball wast rotat unabl play,4,0.375,0.0,0.625,Unhappy,27,5
205,poor qualiti  shuttl stand  day,1,0.0,0.437,0.563,Unhappy,31,5
206,origin product,5,0.0,0.0,1.0,Happy,14,2
207,shuttl good,2,0.744,0.0,0.256,Unhappy,11,2
208,good expect,5,0.744,0.0,0.256,Happy,11,2
209,good,5,1.0,0.0,0.0,Happy,4,1
210,yonex mavi  pure item shuttl old,1,0.0,0.0,1.0,Unhappy,32,6
211,nice product suggest youplz buy product origin productmad japan ,5,0.259,0.0,0.741,Happy,64,9
212,good,4,1.0,0.0,0.0,Unhappy,4,1
213,nice,5,1.0,0.0,0.0,Happy,4,1
214,nice,5,1.0,0.0,0.0,Happy,4,1
215,nice shuttl outdoor,5,0.583,0.0,0.417,Happy,19,3
216,good product,5,0.744,0.0,0.256,Happy,12,2
217,amaz cost amaz one,5,0.0,0.0,1.0,Happy,18,4
218,pack made flipkart absolut perfect mavi  pretti good think cost side get  play hard shuttl,4,0.421,0.065,0.514,Unhappy,90,15
219,good dilevari good product,5,0.744,0.0,0.256,Happy,26,4
220,worth,3,1.0,0.0,0.0,Unhappy,5,1
221,good,3,1.0,0.0,0.0,Unhappy,4,1
222,look like fake shuttl  sold yonex,1,0.26,0.323,0.417,Unhappy,33,6
223,worst product buy low qualiti,1,0.0,0.674,0.326,Unhappy,29,5
224,shuttl shapeless may mishandelrd transport,1,0.0,0.0,1.0,Unhappy,42,5
225,product good,1,0.744,0.0,0.256,Unhappy,12,2
226, day deliveri someth realli frustrat even till get product pleas work servic,1,0.0,0.0,1.0,Unhappy,76,12
227,bad qualiti,1,0.0,0.778,0.222,Unhappy,11,2
228,good product,5,0.744,0.0,0.256,Happy,12,2
229,best qualiti shuttl,5,0.677,0.0,0.323,Happy,19,3
230,good qualiti valu money,5,0.492,0.0,0.508,Happy,23,4
231,good,3,1.0,0.0,0.0,Unhappy,4,1
232,worst,1,0.0,1.0,0.0,Unhappy,5,1
233,bad,4,0.0,1.0,0.0,Unhappy,3,1
234,shuttl good play last  day shuttl still goodvalu moneythank flipkart,5,0.398,0.0,0.602,Happy,68,10
235,bad qualiti,1,0.0,0.778,0.222,Unhappy,11,2
236,qualiti good littl bit fast,2,0.42,0.0,0.58,Unhappy,27,5
237,excel origin buy local sport store,5,0.375,0.0,0.625,Happy,34,6
238,poor qualiti shuttl becom broke within  hour play ie within  day,1,0.147,0.362,0.491,Unhappy,64,11
239,shuttl worn realli quick quick regular mavi  tri verifi authent product enter code onto websit lo genuin producti attach pictur refer develop hairlin crack quick half match shuttl qualiti,1,0.0,0.073,0.927,Unhappy,187,29
240,nice product best price super,5,0.845,0.0,0.155,Happy,29,5
241,profession player play mavi  green colour go product lighter slower green one new buyer go ahead buy matter speed slower green mavi ,3,0.149,0.0,0.851,Unhappy,132,22
242,optimum weight speed easi control shot easi court cover  good learner even beginn base thermocol type materi like yonex shurttl cork base  get ruptur easili  worth buy,4,0.233,0.0,0.767,Unhappy,167,27
243,suitabl outdoor,1,0.0,0.0,1.0,Unhappy,15,2
244,seem origin lighter last hour play,2,0.324,0.0,0.676,Unhappy,34,6
245,horribl shuttl ever play,2,0.444,0.0,0.556,Unhappy,24,4
246,final got orgin yonex mavi genuin piecether mani fake avil marketso serious player buy regret,5,0.0,0.375,0.625,Happy,93,15
247,one shuttl last hard  day less would suggest maker keep mind thing manufactur price also high make either durabl cheap user friend,3,0.13,0.057,0.813,Unhappy,130,22
248,item receiv excel condit within one day thank team howev one suggest pleas send item big cardboard box actual wastag resourc,5,0.224,0.0,0.776,Happy,124,21
249,use box peopl say fake either never play mavi  may receiv damag box might disturb flight shuttl play mavi  day day absolut origin speed play well delhi heat  degre order,5,0.055,0.313,0.631,Happy,169,30
250,product good like bought open market price also equal open market would good line price less,5,0.39,0.0,0.61,Happy,92,16
251,nice item,5,0.737,0.0,0.263,Happy,9,2
252,thank flipkart provid great product good qualiti great deal,5,0.731,0.0,0.269,Happy,59,9
253,shutt durablelast long good flight time much better purchas local store also offer cheaper,5,0.326,0.0,0.674,Happy,90,14
254,love itit realli guuda well fantast deliveri earli also,5,0.474,0.0,0.526,Happy,55,9
255,realli good shuttl   want improv game best also durabl  flight good weight balanc superb  best amateur  level,5,0.641,0.0,0.359,Happy,109,17
256,convinc qualiti product,3,0.0,0.0,1.0,Unhappy,23,3
257,option put imag review section  shuttl deliv use one even mavi   seller must total  unprofession   basic check seal taken care flipkart atleast,1,0.132,0.0,0.868,Unhappy,143,22
258,ok,3,1.0,0.0,0.0,Unhappy,2,1
259,valu money,4,0.0,0.0,1.0,Unhappy,10,2
260,excel product cost higher,5,0.5,0.0,0.5,Happy,25,4
261,one shuttl broken  day smash,2,0.0,0.437,0.563,Unhappy,28,5
262,shuttl poorguy purchaseflipkhart check supplieroth big impact sale also,1,0.0,0.0,1.0,Unhappy,71,9
263,nice shuttl  flight correct good durabl,5,0.588,0.0,0.412,Happy,39,6
264,ball best local rate high,4,0.512,0.0,0.488,Unhappy,25,5
265,good flipcart price high market get  rs per peac,3,0.266,0.0,0.734,Unhappy,48,9
266,good slow type cork r use daili game one cork last  day,4,0.225,0.0,0.775,Unhappy,55,12
267,best shuttlecock ever play everyday  hour continusli still use  shuttlecock   day durabl got realli good flight yonex rock ,5,0.388,0.0,0.612,Happy,123,18
268,worst rate,1,0.0,0.804,0.196,Unhappy,10,2
269,shuttl long life light,5,0.0,0.0,1.0,Happy,22,4
270,worst productdo go itit stand hour play,1,0.209,0.357,0.435,Unhappy,39,7
271,fleec custom tag wrong mrp,1,0.0,0.437,0.563,Unhappy,26,5
272,better beginn,5,0.744,0.0,0.256,Happy,13,2
273,shuttl good even   match comethink twice purchas,1,0.326,0.0,0.674,Unhappy,48,7
274,okk,2,0.0,0.0,1.0,Unhappy,3,1
275, time order quantiti good next time qualiti poor  shuttl look also ,2,0.193,0.207,0.6,Unhappy,67,11
276,nice product practic,5,0.583,0.0,0.417,Happy,20,3
277,excel,5,1.0,0.0,0.0,Happy,5,1
278,good one,5,0.744,0.0,0.256,Happy,8,2
279,nice,5,1.0,0.0,0.0,Happy,4,1
280,good,4,1.0,0.0,0.0,Unhappy,4,1
281,good ,5,1.0,0.0,0.0,Happy,5,1
282,origin product great discount,5,0.577,0.0,0.423,Happy,29,4
283,good product,3,0.744,0.0,0.256,Unhappy,12,2
284,absolut good qualiti shuttlesand great pack team,5,0.583,0.0,0.417,Happy,48,7
285,product   good   price   increas  retail  price    ,3,0.367,0.0,0.633,Unhappy,51,6
286,dear retailnet second order second order  iffer first one one pack look differ qualiti nicethank happi second order,5,0.133,0.0,0.867,Happy,115,18
287,best cicksbut price highest pleas think,5,0.457,0.0,0.543,Happy,39,6
288,poor product,2,0.0,0.756,0.244,Unhappy,12,2
289,poor qualiti,2,0.0,0.756,0.244,Unhappy,12,2
290,valu money,5,0.0,0.0,1.0,Happy,10,2
291,bad,3,0.0,1.0,0.0,Unhappy,3,1
292,best,5,1.0,0.0,0.0,Happy,4,1
293,good,2,1.0,0.0,0.0,Unhappy,4,1
294,qualiti good rotat cork new one,2,0.367,0.0,0.633,Unhappy,31,6
295,worst product,1,0.0,0.804,0.196,Unhappy,13,2
296,best qualiti,5,0.808,0.0,0.192,Happy,12,2
297,one roll cork two piec cork goodbut four cork wast one match cork roll buy product,1,0.0,0.0,1.0,Unhappy,82,16
298,bad product  one two number shuttl good other get damag one match,3,0.251,0.21,0.539,Unhappy,65,12
299,bad qualiti ,1,0.0,0.778,0.222,Unhappy,12,2
300,nice product pack,4,0.583,0.0,0.417,Unhappy,17,3
301,seem duplicategener shuttl use around   daysbut onlin purchas product cannot use  dayyou feel differ shuttl play,1,0.138,0.0,0.862,Unhappy,112,16
302,super,5,1.0,0.0,0.0,Happy,5,1
303,best qualiti,5,0.808,0.0,0.192,Happy,12,2
304,go bad quick   day,1,0.0,0.538,0.462,Unhappy,18,4
305,extrem good satisfi qualiti wish place repeat order,5,0.483,0.0,0.517,Happy,51,8
306,best shuttl cork,5,0.677,0.0,0.323,Happy,16,3
307,play   match cork get rotat  longer use play game,3,0.407,0.0,0.593,Unhappy,49,9
308,good qualiti product,5,0.592,0.0,0.408,Happy,20,3
309,best game,3,0.808,0.0,0.192,Unhappy,9,2
310,definit buy,5,0.0,0.0,1.0,Happy,11,2
311,nice qualiti genuin product afford price,5,0.359,0.0,0.641,Happy,40,6
312,good outdoor easi spoil contact water,4,0.367,0.0,0.633,Unhappy,37,6
313,nice must buy,5,0.583,0.0,0.417,Happy,13,3
314,good,5,1.0,0.0,0.0,Happy,4,1
315,good product,4,0.744,0.0,0.256,Unhappy,12,2
316,nice one,5,0.737,0.0,0.263,Happy,8,2
317,excel ,5,1.0,0.0,0.0,Happy,6,1
318,thank flipkart,5,0.714,0.0,0.286,Happy,14,2
319,best one,5,0.808,0.0,0.192,Happy,8,2
320,good,5,1.0,0.0,0.0,Happy,4,1
321,ok,3,1.0,0.0,0.0,Unhappy,2,1
322,good product,5,0.744,0.0,0.256,Happy,12,2
323,break  hour game  bad qualiti,3,0.0,0.467,0.533,Unhappy,29,5
324,expect nice,4,0.737,0.0,0.263,Unhappy,11,2
325,superb,5,1.0,0.0,0.0,Happy,6,1
326,excel,5,1.0,0.0,0.0,Happy,5,1
327,good product,4,0.744,0.0,0.256,Unhappy,12,2
328,nice,4,1.0,0.0,0.0,Unhappy,4,1
329,nice product longlif,5,0.583,0.0,0.417,Happy,20,3
330,good,5,1.0,0.0,0.0,Happy,4,1
331,worthi,4,0.0,0.0,1.0,Unhappy,6,1
332,nice product thank flipkart origin mavi  ,5,0.57,0.0,0.43,Happy,41,6
333,nice product ,5,0.737,0.0,0.263,Happy,13,2
334,good,4,1.0,0.0,0.0,Unhappy,4,1
335,good,5,1.0,0.0,0.0,Happy,4,1
336,receiv origin product,4,0.0,0.0,1.0,Unhappy,21,3
337,good shutl ,5,0.744,0.0,0.256,Happy,11,2
338,good,5,1.0,0.0,0.0,Happy,4,1
339,one ball play one week,4,0.375,0.0,0.625,Unhappy,22,5
340,genuin product,5,0.0,0.0,1.0,Happy,14,2
341,best product whole yonex compani,5,0.512,0.0,0.488,Happy,32,5
342,bad qualiti,1,0.0,0.778,0.222,Unhappy,11,2
